A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A1385,Northwestern High PO Box 218 Maple,B1382,Northwestern High School 4751 S County Road F Maple,0.8418181
A1035,LEAP Elementary W4712 County Road O Watertown,B1031,Lebanon Elementary School W4712 County Road O Watertown,0.8416041
A244,Cameron High PO Box P.O. Box 3 Cameron,B247,Cameron High School 750 S 1st St Cameron,0.8415384
A805,Hoover Elementary 950 Hunt Ave Neenah,B2117,Washington Elementary School 220 E Franklin Ave Neenah,0.84125954
A1167,Mauston High 800 Grayside Ave Mauston,B1168,Mauston Head Start 201 Oak St Mauston,0.8411269
A2071,Wauwatosa Virtual Academy 12121 W North Ave Wauwatosa,B2151,Wauwatosa Montessori School 12121 W North Ave Wauwatosa,0.8410917
A575,Exploration Charter High School 325 McKinley St North Fond du Lac,B595,Fond Du Lac High School 801 Campus Dr Fond Du Lac,0.8409815
A1306,Nekoosa High 500 Cedar St Nekoosa,B1310,Nekoosa Academy 500 Cedar Street Nekoosa,0.8407209
A2085,West Bend School District 4K 735 S Main St West Bend,B156,Big Bend Elementary School W230 S8695 Big Bend Dr Big Bend,0.84045416
A1955,Trevor-Wilmot Grade 26325 Wilmot Rd Trevor,B2052,Trevor Grade School 26325 Wilmot Road Trevor,0.84037703
A1644,River Valley Early Learning Center 1370 Cherry St Plain,B486,Early Learning Center W51n932 Keup Rd Cedarburg,0.8396853
A1447,Owen-Withee Elementary PO Box 417 Owen,B1446,Owen-Withee Elementary School 832 W 3rd St Owen,0.83954513
A1267,Montello Junior/Senior High 222 Forest Ln Montello,B1265,Montello Jr-Sr High School 222 Forest Lane Montello,0.83952236
A961,King International 1801 W Olive St Milwaukee,B961,King Ms (020) 121 E Hadley St Milwaukee,0.83928365
A1934,Token Springs Elementary 501 S Bird St Sun Prairie,B823,Horizon Elementary School 625 N. Heathersone Ridge Drive Sun Prairie,0.8391665
A357,Cornell High PO Box 517 Cornell,B388,Cornell High School 708 Bridge St Cornell,0.83806205
A2155,Wildlands Charter School E19320 Bartig Rd Augusta,B90,Augusta Middle School E19320 Bartig Rd Augusta,0.8375423
A1633,River Cities High 2390 48th St S Wisconsin Rapids,B1647,River Cities High School 2390 48th Street South Wisconsin Rapids,0.83735776
A595,Flambeau Elementary PO Box 86 Tony,B587,Flambeau Elementary School N4540 County Road I Tony,0.83692974
A2084,Wequiock Elementary 3994 Wequiock Rd Green Bay,B1518,Pioneer Elementary School 1360 Ponderosa Ave Green Bay,0.83685124
A1548,Prairie Farm Middle 630 River Ave S Prairie Farm,B1556,Prairie Farm Middle School 630 River Ave S Prairie Farm,0.8364113
A892,Jefferson Elementary 105 Ice St Menasha,B233,Butte Des Morts Elementary 501 Tayco St Menasha,0.8362739
A1457,Palmyra-Eagle High PO Box 901 Palmyra,B1461,Palmyra-Eagle Middle School 123 Burr Oak Street Palmyra,0.83616424
A2166,Wilson Elementary 11001 N Buntrock Ave Mequon,B1428,Oriole Lane Elementary School 12850 N Oriole Ln Mequon,0.83584553
A2080,Webster High PO Box 9 Webster,B2159,Webster High School 7564 Alder St W Webster,0.8358315
A418,Denmark Middle 450 N Wall St Denmark,B440,Denmark Elementary School 450 N Wall St Denmark,0.8356879
A2066,Wausaukee High PO Box 258 Wausaukee,B2148,Wausaukee Jr High School N11941 Us Hiway 141 Wausaukee,0.8353399
A389,D C Everest Idea School 4704 Camp Phillips Rd Weston,B850,Idea Charter School 4704 Camp Phillips Road Weston,0.83533907
A974,Kosciuszko Elementary 5252 S Kirkwood Ave Cudahy,B409,Cudahy Middle School 5530 S Barland Ave Cudahy,0.8350943
A1143,Marcy Elementary W180N4851 Marcy Rd Menomonee Falls,B1140,Marcy Elementary School W180 N4851 Marcy Rd Menomonee Fls,0.83479154
A1444,Osseo-Fairchild High 50851 East St Osseo,B1436,Osseo-Fairchild High School 50900 Francis St Osseo,0.8347847
A121,Bay View Middle 1217 Cardinal Ln Green Bay,B123,Bay View School 3030 Curry Lane Green Bay,0.83466756
A676,Gilmanton Middle PO Box 28 Gilmanton,B670,Gilmanton Middle School S 889 Larson Road Gilmanton,0.8343346
A1133,Maple Dale School 8377 N Port Washington Rd Fox Point,B1128,Maple Dale School 8377 N Port Washington Rd Milwaukee,0.8343052
A791,Hilltop Day Care and Preschool 104 Cameron Rd Rice Lake,B789,Hilltop Elementary School 202 Cameron Rd Rice Lake,0.8340161
A1282,Mount Horeb Middle 900 E Garfield St Mount Horeb,B1281,Mount Horeb Intermediate Ctr 200 Hanneman Blvd Mount Horeb,0.83316356
A799,Holmen Public Preschool 1019 McHugh Rd Holmen,B796,Holmen Middle School 502 N. Main St Holmen,0.833078
A2086,West De Pere High 665 Grant St De Pere,B2165,West De Pere High School 665 Grant St De Pere,0.83276784
A2098,West High 1200 W Wausau Ave Wausau,B2145,Wausau West High School 1200 W Wausau Ave Wausau,0.8324377
